"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\services\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\services\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\services\video.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\frontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\acs.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\controllers\meetings.js", "JavaScript", 0, 74, 0, 0, 0, 0, 2, 12, 88
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\controllers\userController.js", "JavaScript", 0, 45, 0, 0, 0, 0, 1, 7, 53
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\db.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\dbConfig.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\middleware\authentication.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\middleware\checkRole.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\models\meeting.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\models\user.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\package-lock.json", "JSON", 3983, 0, 0, 0, 0, 0, 0, 1, 3984
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\routes\meetingRoutes.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 4, 17
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\routes\userRoutes.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\scripts\genarateJWT.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\scripts\seedUsers.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\server.js", "JavaScript", 0, 33, 0, 0, 0, 0, 6, 7, 46
"c:\Users\kbiro\Desktop\Projects 2024\Bachelor Projekt\server\utils\genarateToken.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 4, 17
"Total", "-", 24966, 1504, 38, 20, 1, 547, 57, 337, 27470
